X_Plane1_r_0,X_Plane1_r_1,X_Plane1_r_2,X_Plane1_dr_0,X_Plane1_dr_1,X_Plane1_dr_2,X_Plane1_R_0,X_Plane1_R_1,X_Plane1_R_2,X_Plane1_R_3,X_Plane1_R_4,X_Plane1_R_5,X_Plane1_R_6,X_Plane1_R_7,X_Plane1_R_8,X_Plane1_omega_0,X_Plane1_omega_1,X_Plane1_omega_2,X_Plane1_thrust_0,X_Plane1_thrust_1,X_Plane1_flaps_0,X_Plane1_flaps_1,X_t_0,U_Plane1_dthrust_0,U_Plane1_dthrust_1,U_Plane1_dflaps_0,U_Plane1_dflaps_1
5.168269750e+00,4.668930506e+01,1.661070681e+01,1.612333886e+01,-1.827315230e+00,-1.995774766e-01,9.882402585e-01,-1.345681906e-01,-7.071329343e-02,9.797757741e-02,9.194558528e-01,-3.807902387e-01,1.162379381e-01,3.692427876e-01,9.218804784e-01,3.086842561e-02,2.150396041e-01,-2.292970164e-01,7.305072418e+00,7.350845816e+00,-2.269980368e-01,1.069302455e-02,2.429262133e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
5.559662344e+00,4.664376848e+01,1.660559523e+01,1.609698959e+01,-1.941722358e+00,-2.447264741e-01,9.870830895e-01,-1.416087136e-01,-7.337653159e-02,1.035687179e-01,9.189610914e-01,-3.805029890e-01,1.212948714e-01,3.678698622e-01,9.218028408e-01,3.025536810e-02,2.136820533e-01,-2.294347917e-01,7.426535451e+00,7.472308886e+00,-2.277520030e-01,1.061644483e-02,2.672188347e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
5.950424010e+00,4.659552462e+01,1.659947113e+01,1.607060703e+01,-2.055790966e+00,-2.894822156e-01,9.858760921e-01,-1.486298558e-01,-7.600541503e-02,1.091584788e-01,9.184199234e-01,-3.802446726e-01,1.263077934e-01,3.664848700e-01,9.217102105e-01,2.964112867e-02,2.123880739e-01,-2.295726117e-01,7.547998483e+00,7.593771956e+00,-2.285059692e-01,1.053986511e-02,2.915114560e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
6.340552251e+00,4.654456974e+01,1.659233006e+01,1.604418756e+01,-2.169546670e+00,-3.338747121e-01,9.846187676e-01,-1.556320329e-01,-7.860193002e-02,1.147463846e-01,9.178324399e-01,-3.800152319e-01,1.312788622e-01,3.650870743e-01,9.216023114e-01,2.902587684e-02,2.111596228e-01,-2.297104661e-01,7.669461515e+00,7.715235027e+00,-2.292599355e-01,1.046328539e-02,3.158040773e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
6.730044569e+00,4.649090008e+01,1.658416753e+01,1.601772758e+01,-2.283015086e+00,-3.779339744e-01,9.833106173e-01,-1.626156608e-01,-8.116806277e-02,1.203319595e-01,9.171987320e-01,-3.798146097e-01,1.362102361e-01,3.636757380e-01,9.214788672e-01,2.840978216e-02,2.099986566e-01,-2.298483444e-01,7.790924547e+00,7.836698097e+00,-2.300139017e-01,1.038670567e-02,3.400966987e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
7.118898468e+00,4.643451190e+01,1.657497907e+01,1.599122346e+01,-2.396221830e+00,-4.216900135e-01,9.819511427e-01,-1.695811552e-01,-8.370579954e-02,1.259147278e-01,9.165188907e-01,-3.796427485e-01,1.411040730e-01,3.622501244e-01,9.213396018e-01,2.779301416e-02,2.089071322e-01,-2.299862363e-01,7.912387579e+00,7.958161168e+00,-2.307678679e-01,1.031012595e-02,3.643893200e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
7.507111451e+00,4.637540145e+01,1.656476021e+01,1.596467160e+01,-2.509192520e+00,-4.651728402e-01,9.805398452e-01,-1.765289321e-01,-8.621712655e-02,1.314942139e-01,9.157930070e-01,-3.794995908e-01,1.459625311e-01,3.608094963e-01,9.211842388e-01,2.717574240e-02,2.078870063e-01,-2.301241315e-01,8.033850611e+00,8.079624238e+00,-2.315218342e-01,1.023354623e-02,3.886819413e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
7.894681020e+00,4.631356497e+01,1.655350647e+01,1.593806838e+01,-2.621952770e+00,-5.084124653e-01,9.790762261e-01,-1.834594071e-01,-8.870403006e-02,1.370699421e-01,9.150211720e-01,-3.793850793e-01,1.507877685e-01,3.593531170e-01,9.210125021e-01,2.655813641e-02,2.069402356e-01,-2.302620196e-01,8.155313643e+00,8.201087309e+00,-2.322758004e-01,1.015696651e-02,4.129745626e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
8.281604678e+00,4.624899872e+01,1.654121339e+01,1.591141020e+01,-2.734528199e+00,-5.514388999e-01,9.775597868e-01,-1.903729962e-01,-9.116849630e-02,1.426414367e-01,9.142034767e-01,-3.792991567e-01,1.555819434e-01,3.578802494e-01,9.208241154e-01,2.594036572e-02,2.060687768e-01,-2.303998902e-01,8.276776676e+00,8.322550379e+00,-2.330297666e-01,1.008038679e-02,4.372671840e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
8.667879929e+00,4.618169895e+01,1.652787648e+01,1.588469344e+01,-2.846944421e+00,-5.942821546e-01,9.759900287e-01,-1.972701151e-01,-9.361251151e-02,1.482082221e-01,9.133400122e-01,-3.792417653e-01,1.603472138e-01,3.563901567e-01,9.206188025e-01,2.532259989e-02,2.052745869e-01,-2.305377330e-01,8.398239708e+00,8.444013449e+00,-2.337837329e-01,1.000380707e-02,4.615598053e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
